2020,Brad Stevens,43-21
2019,Brad Stevens,49-33
2018,Brad Stevens,55-27
2017,Brad Stevens,53-29
2016,Brad Stevens,48-34
2015,Brad Stevens,40-42
2014,Brad Stevens,25-57
2013,Doc Rivers,41-40
2012,Doc Rivers,39-27
2011,Doc Rivers,56-26
2010,Doc Rivers,50-32
2009,Doc Rivers,62-20
2008,Doc Rivers,66-16
2007,Doc Rivers,24-58
2006,Doc Rivers,33-49
2005,Doc Rivers,45-37
2004,Jim O'Brien,22-24
2004,Jim O'Brien,22-24,John Carroll,14-22
2003,Jim O'Brien,44-38
2002,Jim O'Brien,49-33
2001,Rick Pitino,12-22
2001,Rick Pitino,12-22,Jim O'Brien,24-24
2000,Rick Pitino,35-47
1999,Rick Pitino,19-31
1998,Rick Pitino,36-46
1997,M.L. Carr,15-67
1996,M.L. Carr,33-49
1995,Chris Ford,35-47
1994,Chris Ford,32-50
1993,Chris Ford,48-34
1992,Chris Ford,51-31
1991,Chris Ford,56-26
1990,Jimmy Rodgers,52-30
1989,Jimmy Rodgers,42-40
1988,K.C. Jones,57-25
1987,K.C. Jones,59-23
1986,K.C. Jones,67-15
1985,K.C. Jones,63-19
1984,K.C. Jones,62-20
1983,Bill Fitch,56-26
1982,Bill Fitch,63-19
1981,Bill Fitch,62-20
1980,Bill Fitch,61-21
1979,Tom Sanders,2-12
1979,Tom Sanders,2-12,Dave Cowens,27-41
1978,Tom Heinsohn,11-23
1978,Tom Heinsohn,11-23,Tom Sanders,21-27
1977,Tom Heinsohn,44-38
1976,Tom Heinsohn,54-28
1975,Tom Heinsohn,60-22
1974,Tom Heinsohn,56-26
1973,Tom Heinsohn,68-14
1972,Tom Heinsohn,56-26
1971,Tom Heinsohn,44-38
1970,Tom Heinsohn,34-48
1969,Bill Russell,48-34
1968,Bill Russell,54-28
1967,Bill Russell,60-21
1966,Red Auerbach,54-26
1965,Red Auerbach,62-18
1964,Red Auerbach,59-21
1963,Red Auerbach,58-22
1962,Red Auerbach,60-20
1961,Red Auerbach,57-22
1960,Red Auerbach,59-16
1959,Red Auerbach,52-20
1958,Red Auerbach,49-23
1957,Red Auerbach,44-28
1956,Red Auerbach,39-33
1955,Red Auerbach,36-36
1954,Red Auerbach,42-30
1953,Red Auerbach,46-25
1952,Red Auerbach,39-27
1951,Red Auerbach,39-30
1950,Alvin Julian,22-46
1949,Alvin Julian,25-35
1948,John Russell,20-28
1947,John Russell,22-38
