2020,John Beilein,14-40
2020,John Beilein,14-40,J.B. Bickerstaff,5-6
2019,Tyronn Lue,0-6
2019,Tyronn Lue,0-6,Larry Drew,19-57
2018,Tyronn Lue,50-32
2017,Tyronn Lue,51-31
2016,David Blatt,30-11
2016,David Blatt,30-11,Tyronn Lue,27-14
2015,David Blatt,53-29
2014,Mike Brown,33-49
2013,Byron Scott,24-58
2012,Byron Scott,21-45
2011,Byron Scott,19-63
2010,Mike Brown,61-21
2009,Mike Brown,66-16
2008,Mike Brown,45-37
2007,Mike Brown,50-32
2006,Mike Brown,50-32
2005,Paul Silas,34-30
2005,Paul Silas,34-30,Brendan Malone,8-10
2004,Paul Silas,35-47
2003,John Lucas,8-34
2003,John Lucas,8-34,Keith Smart,9-31
2002,John Lucas,29-53
2001,Randy Wittman,30-52
2000,Randy Wittman,32-50
1999,Mike Fratello,22-28
1998,Mike Fratello,47-35
1997,Mike Fratello,42-40
1996,Mike Fratello,47-35
1995,Mike Fratello,43-39
1994,Mike Fratello,47-35
1993,Lenny Wilkens,54-28
1992,Lenny Wilkens,57-25
1991,Lenny Wilkens,33-49
1990,Lenny Wilkens,42-40
1989,Lenny Wilkens,57-25
1988,Lenny Wilkens,42-40
1987,Lenny Wilkens,31-51
1986,George Karl,25-42
1986,George Karl,25-42,Gene Littles,4-11
1985,George Karl,36-46
1984,Tom Nissalke,28-54
1983,Tom Nissalke,23-59
1982,Don Delaney,4-11
1982,Don Delaney,4-11,Bob Kloppenburg,0-3
1982,Don Delaney,4-11,Bob Kloppenburg,0-3,Chuck Daly,9-32
1982,Don Delaney,4-11,Bob Kloppenburg,0-3,Chuck Daly,9-32,Bill Musselman,2-21
1981,Bill Musselman,25-46
1981,Bill Musselman,25-46,Don Delaney,3-8
1980,Stan Albeck,37-45
1979,Bill Fitch,30-52
1978,Bill Fitch,43-39
1977,Bill Fitch,43-39
1976,Bill Fitch,49-33
1975,Bill Fitch,40-42
1974,Bill Fitch,29-53
1973,Bill Fitch,32-50
1972,Bill Fitch,23-59
1971,Bill Fitch,15-67
