2020,Mike Malone,43-22
2019,Mike Malone,54-28
2018,Mike Malone,46-36
2017,Mike Malone,40-42
2016,Mike Malone,33-49
2015,Brian Shaw,20-39
2015,Brian Shaw,20-39,Melvin Hunt,10-13
2014,Brian Shaw,36-46
2013,George Karl,57-25
2012,George Karl,38-28
2011,George Karl,50-32
2010,George Karl,53-29
2009,George Karl,54-28
2008,George Karl,50-32
2007,George Karl,45-37
2006,George Karl,44-38
2005,Jeff Bzdelik,13-15
2005,Jeff Bzdelik,13-15,Michael Cooper,4-10
2005,Jeff Bzdelik,13-15,Michael Cooper,4-10,George Karl,32-8
2004,Jeff Bzdelik,43-39
2003,Jeff Bzdelik,17-65
2002,Dan Issel,9-17
2002,Dan Issel,9-17,Mike Evans,18-38
2001,Dan Issel,40-42
2000,Dan Issel,35-47
1999,Mike D'Antoni,14-36
1998,Bill Hanzlik,11-71
1997,Bernie Bickerstaff,4-9
1997,Bernie Bickerstaff,4-9,Dick Motta,17-52
1996,Bernie Bickerstaff,35-47
1995,Dan Issel,18-16
1995,Dan Issel,18-16,Gene Littles,3-13
1995,Dan Issel,18-16,Gene Littles,3-13,Bernie Bickerstaff,20-12
1994,Dan Issel,42-40
1993,Dan Issel,36-46
1992,Paul Westhead,24-58
1991,Paul Westhead,20-62
1990,Doug Moe,43-39
1989,Doug Moe,44-38
1988,Doug Moe,54-28
1987,Doug Moe,37-45
1986,Doug Moe,47-35
1985,Doug Moe,52-30
1984,Doug Moe,38-44
1983,Doug Moe,45-37
1982,Doug Moe,46-36
1981,Donnie Walsh,11-20
1981,Donnie Walsh,11-20,Doug Moe,26-25
1980,Donnie Walsh,30-52
1979,Larry Brown,28-25
1979,Larry Brown,28-25,Donnie Walsh,19-10
1978,Larry Brown,48-34
1977,Larry Brown,50-32
1976,Larry Brown,60-24
1975,Larry Brown,65-19
1974,Alex Hannum,37-47
1973,Alex Hannum,47-37
1972,Alex Hannum,34-50
1971,Joe Belmont,3-10
1971,Joe Belmont,3-10,Stan Albeck,27-44
1970,John McLendon,9-19
1970,John McLendon,9-19,Joe Belmont,42-14
1969,Bob Bass,44-34
1968,Bob Bass,45-33
