2020,Steve Kerr,15-50
2019,Steve Kerr,57-25
2018,Steve Kerr,58-24
2017,Steve Kerr,67-15
2016,Steve Kerr,73-9
2015,Steve Kerr,67-15
2014,Mark Jackson,51-31
2013,Mark Jackson,47-35
2012,Mark Jackson,23-43
2011,Keith Smart,36-46
2010,Don Nelson,26-56
2009,Don Nelson,29-53
2008,Don Nelson,48-34
2007,Don Nelson,42-40
2006,Mike Montgomery,34-48
2005,Mike Montgomery,34-48
2004,Eric Musselman,37-45
2003,Eric Musselman,38-44
2002,Dave Cowens,8-15
2002,Dave Cowens,8-15,Brian Winters,13-46
2001,Dave Cowens,17-65
2000,P.J. Carlesimo,6-21
2000,P.J. Carlesimo,6-21,Garry St. Jean,13-42
1999,P.J. Carlesimo,21-29
1998,P.J. Carlesimo,19-63
1997,Rick Adelman,30-52
1996,Rick Adelman,36-46
1995,Don Nelson,14-31
1995,Don Nelson,14-31,Bob Lanier,12-25
1994,Don Nelson,50-32
1993,Don Nelson,34-48
1992,Don Nelson,55-27
1991,Don Nelson,44-38
1990,Don Nelson,37-45
1989,Don Nelson,43-39
1988,George Karl,16-48
1988,George Karl,16-48,Ed Gregory,4-14
1987,George Karl,42-40
1986,Johnny Bach,30-52
1985,Johnny Bach,22-60
1984,Johnny Bach,37-45
1983,Al Attles,30-52
1982,Al Attles,45-37
1981,Al Attles,39-43
1980,Al Attles,18-43
1980,Al Attles,18-43,Johnny Bach,6-15
1979,Al Attles,38-44
1978,Al Attles,43-39
1977,Al Attles,46-36
1976,Al Attles,59-23
1975,Al Attles,48-34
1974,Al Attles,44-38
1973,Al Attles,47-35
1972,Al Attles,51-31
1971,Al Attles,41-41
1970,George Lee,22-30
1970,George Lee,22-30,Al Attles,8-22
1969,George Lee,41-41
1968,Bill Sharman,43-39
1967,Bill Sharman,44-37
1966,Alex Hannum,35-45
1965,Alex Hannum,17-63
1964,Alex Hannum,48-32
1963,Bob Feerick,31-49
1962,Frank McGuire,49-31
1961,Neil Johnston,46-33
1960,Neil Johnston,49-26
1959,Al Cervi,32-40
1958,George Senesky,37-35
1957,George Senesky,37-35
1956,George Senesky,45-27
1955,Edward Gottlieb,33-39
1954,Edward Gottlieb,29-43
1953,Edward Gottlieb,12-57
1952,Edward Gottlieb,33-33
1951,Edward Gottlieb,40-26
1950,Edward Gottlieb,26-42
1949,Edward Gottlieb,28-32
1948,Edward Gottlieb,27-21
1947,Edward Gottlieb,35-25
