2020,Doc Rivers,44-20
2019,Doc Rivers,48-34
2018,Doc Rivers,42-40
2017,Doc Rivers,51-31
2016,Doc Rivers,53-29
2015,Doc Rivers,56-26
2014,Doc Rivers,57-25
2013,Vinny Del Negro,56-26
2012,Vinny Del Negro,40-26
2011,Vinny Del Negro,32-50
2010,Mike Dunleavy,21-28
2010,Mike Dunleavy,21-28,Kim Hughes,8-25
2009,Mike Dunleavy,19-63
2008,Mike Dunleavy,23-59
2007,Mike Dunleavy,40-42
2006,Mike Dunleavy,47-35
2005,Mike Dunleavy,37-45
2004,Mike Dunleavy,28-54
2003,Alvin Gentry,19-39
2003,Alvin Gentry,19-39,Dennis Johnson,8-16
2002,Alvin Gentry,39-43
2001,Alvin Gentry,31-51
2000,Chris Ford,11-34
2000,Chris Ford,11-34,Jim Todd,4-33
1999,Chris Ford,9-41
1998,Bill Fitch,17-65
1997,Bill Fitch,36-46
1996,Bill Fitch,29-53
1995,Bill Fitch,17-65
1994,Bob Weiss,27-55
1993,Larry Brown,41-41
1992,Mike Schuler,21-24
1992,Mike Schuler,21-24,Mack Calvin,1-1
1992,Mike Schuler,21-24,Mack Calvin,1-1,Larry Brown,23-12
1991,Mike Schuler,31-51
1990,Don Casey,30-52
1989,Gene Shue,10-28
1989,Gene Shue,10-28,Don Casey,11-33
1988,Gene Shue,17-65
1987,Don Chaney,12-70
1986,Don Chaney,32-50
1985,Jim Lynam,22-39
1985,Jim Lynam,22-39,Don Chaney,9-12
1984,Jim Lynam,30-52
1983,Paul Silas,25-57
1982,Paul Silas,17-65
1981,Paul Silas,36-46
1980,Gene Shue,35-47
1979,Gene Shue,43-39
1978,Cotton Fitzsimmons,27-55
1977,Tates Locke,16-30
1977,Tates Locke,16-30,Bob MacKinnon,3-4
1977,Tates Locke,16-30,Bob MacKinnon,3-4,Joe Mullaney,11-18
1976,Jack Ramsay,46-36
1975,Jack Ramsay,49-33
1974,Jack Ramsay,42-40
1973,Jack Ramsay,21-61
1972,Dolph Schayes,0-1
1972,Dolph Schayes,0-1,Johnny McCarthy,22-59
1971,Dolph Schayes,22-60
