2020,Taylor Jenkins,32-33
2019,J.B. Bickerstaff,33-49
2018,David Fizdale,7-12
2018,David Fizdale,7-12,J.B. Bickerstaff,15-48
2017,David Fizdale,43-39
2016,Dave Joerger,42-40
2015,Dave Joerger,55-27
2014,Dave Joerger,50-32
2013,Lionel Hollins,56-26
2012,Lionel Hollins,41-25
2011,Lionel Hollins,46-36
2010,Lionel Hollins,40-42
2009,Marc Iavaroni,11-30
2009,Marc Iavaroni,11-30,Johnny Davis,0-2
2009,Marc Iavaroni,11-30,Johnny Davis,0-2,Lionel Hollins,13-26
2008,Marc Iavaroni,22-60
2007,Mike Fratello,6-24
2007,Mike Fratello,6-24,Tony Barone,16-36
2006,Mike Fratello,49-33
2005,Hubie Brown,5-7
2005,Hubie Brown,5-7,Lionel Hollins,0-4
2005,Hubie Brown,5-7,Lionel Hollins,0-4,Mike Fratello,40-26
2004,Hubie Brown,50-32
2003,Sidney Lowe,0-8
2003,Sidney Lowe,0-8,Hubie Brown,28-46
2002,Sidney Lowe,23-59
2001,Sidney Lowe,23-59
2000,Brian Hill,4-18
2000,Brian Hill,4-18,Lionel Hollins,18-42
1999,Brian Hill,8-42
1998,Brian Hill,19-63
1997,Brian Winters,8-35
1997,Brian Winters,8-35,Stu Jackson,6-33
1996,Brian Winters,15-67
