2020,Erik Spoelstra,41-24
2019,Erik Spoelstra,39-43
2018,Erik Spoelstra,44-38
2017,Erik Spoelstra,41-41
2016,Erik Spoelstra,48-34
2015,Erik Spoelstra,37-45
2014,Erik Spoelstra,54-28
2013,Erik Spoelstra,66-16
2012,Erik Spoelstra,46-20
2011,Erik Spoelstra,58-24
2010,Erik Spoelstra,47-35
2009,Erik Spoelstra,43-39
2008,Pat Riley,15-67
2007,Pat Riley,44-38
2006,Stan Van Gundy,11-10
2006,Stan Van Gundy,11-10,Pat Riley,41-20
2005,Stan Van Gundy,59-23
2004,Stan Van Gundy,42-40
2003,Pat Riley,25-57
2002,Pat Riley,36-46
2001,Pat Riley,50-32
2000,Pat Riley,52-30
1999,Pat Riley,33-17
1998,Pat Riley,55-27
1997,Pat Riley,61-21
1996,Pat Riley,42-40
1995,Kevin Loughery,17-29
1995,Kevin Loughery,17-29,Alvin Gentry,15-21
1994,Kevin Loughery,42-40
1993,Kevin Loughery,36-46
1992,Kevin Loughery,38-44
1991,Ron Rothstein,24-58
1990,Ron Rothstein,18-64
1989,Ron Rothstein,15-67
