2020,Kenny Atkinson,28-34
2020,Kenny Atkinson,28-34,Jacque Vaughn,2-0
2019,Kenny Atkinson,42-40
2018,Kenny Atkinson,28-54
2017,Kenny Atkinson,20-62
2016,Lionel Hollins,10-27
2016,Lionel Hollins,10-27,Tony Brown,11-34
2015,Lionel Hollins,38-44
2014,Jason Kidd,44-38
2013,Avery Johnson,14-14
2013,Avery Johnson,14-14,P.J. Carlesimo,35-19
2012,Avery Johnson,22-44
2011,Avery Johnson,24-58
2010,Lawrence Frank,0-16
2010,Lawrence Frank,0-16,Tom Barrise,0-2
2010,Lawrence Frank,0-16,Tom Barrise,0-2,Kiki Vandeweghe,12-52
2009,Lawrence Frank,34-48
2008,Lawrence Frank,34-48
2007,Lawrence Frank,41-41
2006,Lawrence Frank,49-33
2005,Lawrence Frank,42-40
2004,Byron Scott,22-20
2004,Byron Scott,22-20,Lawrence Frank,25-15
2003,Byron Scott,49-33
2002,Byron Scott,52-30
2001,Byron Scott,26-56
2000,Don Casey,31-51
1999,John Calipari,3-17
1999,John Calipari,3-17,Don Casey,13-17
1998,John Calipari,43-39
1997,John Calipari,26-56
1996,Butch Beard,30-52
1995,Butch Beard,30-52
1994,Chuck Daly,45-37
1993,Chuck Daly,43-39
1992,Bill Fitch,40-42
1991,Bill Fitch,26-56
1990,Bill Fitch,17-65
1989,Willis Reed,26-56
1988,Dave Wohl,2-13
1988,Dave Wohl,2-13,Bob MacKinnon,10-29
1988,Dave Wohl,2-13,Bob MacKinnon,10-29,Willis Reed,7-21
1987,Dave Wohl,24-58
1986,Dave Wohl,39-43
1985,Stan Albeck,42-40
1984,Stan Albeck,45-37
1983,Larry Brown,47-29
1983,Larry Brown,47-29,Bill Blair,2-4
1982,Larry Brown,44-38
1981,Kevin Loughery,12-23
1981,Kevin Loughery,12-23,Bob MacKinnon,12-35
1980,Kevin Loughery,34-48
1979,Kevin Loughery,37-45
1978,Kevin Loughery,24-58
1977,Kevin Loughery,22-60
1976,Kevin Loughery,55-29
1975,Kevin Loughery,58-26
1974,Kevin Loughery,55-29
1973,Lou Carnesecca,30-54
1972,Lou Carnesecca,44-40
1971,Lou Carnesecca,40-44
1970,York Larese,39-45
1969,Max Zaslofsky,17-61
1968,Max Zaslofsky,36-42
