2020,David Fizdale,4-18
2020,David Fizdale,4-18,Mike Miller,17-27
2019,David Fizdale,17-65
2018,Jeff Hornacek,29-53
2017,Jeff Hornacek,31-51
2016,Derek Fisher,23-31
2016,Derek Fisher,23-31,Kurt Rambis,9-19
2015,Derek Fisher,17-65
2014,Mike Woodson,37-45
2013,Mike Woodson,54-28
2012,Mike D'Antoni,18-24
2012,Mike D'Antoni,18-24,Mike Woodson,18-6
2011,Mike D'Antoni,42-40
2010,Mike D'Antoni,29-53
2009,Mike D'Antoni,32-50
2008,Isiah Thomas,23-59
2007,Isiah Thomas,33-49
2006,Larry Brown,23-59
2005,Lenny Wilkens,17-22
2005,Lenny Wilkens,17-22,Herb Williams,16-27
2004,Don Chaney,15-24
2004,Don Chaney,15-24,Herb Williams,1-0
2004,Don Chaney,15-24,Herb Williams,1-0,Lenny Wilkens,23-19
2003,Don Chaney,37-45
2002,Jeff Van Gundy,10-9
2002,Jeff Van Gundy,10-9,Don Chaney,20-43
2001,Jeff Van Gundy,48-34
2000,Jeff Van Gundy,50-32
1999,Jeff Van Gundy,27-23
1998,Jeff Van Gundy,43-39
1997,Jeff Van Gundy,57-25
1996,Don Nelson,34-25
1996,Don Nelson,34-25,Jeff Van Gundy,13-10
1995,Pat Riley,55-27
1994,Pat Riley,57-25
1993,Pat Riley,60-22
1992,Pat Riley,51-31
1991,Stu Jackson,7-8
1991,Stu Jackson,7-8,John MacLeod,32-35
1990,Stu Jackson,45-37
1989,Rick Pitino,52-30
1988,Rick Pitino,38-44
1987,Hubie Brown,4-12
1987,Hubie Brown,4-12,Bob Hill,20-46
1986,Hubie Brown,23-59
1985,Hubie Brown,24-58
1984,Hubie Brown,47-35
1983,Hubie Brown,44-38
1982,Red Holzman,33-49
1981,Red Holzman,50-32
1980,Red Holzman,39-43
1979,Willis Reed,6-8
1979,Willis Reed,6-8,Red Holzman,25-43
1978,Willis Reed,43-39
1977,Red Holzman,40-42
1976,Red Holzman,38-44
1975,Red Holzman,40-42
1974,Red Holzman,49-33
1973,Red Holzman,57-25
1972,Red Holzman,48-34
1971,Red Holzman,52-30
1970,Red Holzman,60-22
1969,Red Holzman,54-28
1968,Dick McGuire,15-23
1968,Dick McGuire,15-23,Red Holzman,28-16
1967,Dick McGuire,36-45
1966,Harry Gallatin,6-15
1966,Harry Gallatin,6-15,Dick McGuire,24-35
1965,Eddie Donovan,12-26
1965,Eddie Donovan,12-26,Harry Gallatin,19-23
1964,Eddie Donovan,22-58
1963,Eddie Donovan,21-59
1962,Eddie Donovan,29-51
1961,Carl Braun,21-58
1960,Andrew Levane,8-19
1960,Andrew Levane,8-19,Carl Braun,19-29
1959,Andrew Levane,40-32
1958,Vince Boryla,35-37
1957,Vince Boryla,36-36
1956,Joe Lapchick,26-25
1956,Joe Lapchick,26-25,Vince Boryla,9-12
1955,Joe Lapchick,38-34
1954,Joe Lapchick,44-28
1953,Joe Lapchick,47-23
1952,Joe Lapchick,37-29
1951,Joe Lapchick,36-30
1950,Joe Lapchick,40-28
1949,Joe Lapchick,32-28
1948,Joe Lapchick,26-22
1947,Neil Cohalan,33-27
