2020,Billy Donovan,40-24
2019,Billy Donovan,49-33
2018,Billy Donovan,48-34
2017,Billy Donovan,47-35
2016,Billy Donovan,55-27
2015,Scott Brooks,45-37
2014,Scott Brooks,59-23
2013,Scott Brooks,60-22
2012,Scott Brooks,47-19
2011,Scott Brooks,55-27
2010,Scott Brooks,50-32
2009,P.J. Carlesimo,1-12
2009,P.J. Carlesimo,1-12,Scott Brooks,22-47
2008,P.J. Carlesimo,20-62
2007,Bob Hill,31-51
2006,Bob Weiss,13-17
2006,Bob Weiss,13-17,Bob Hill,22-30
2005,Nate McMillan,52-30
2004,Nate McMillan,37-45
2003,Nate McMillan,40-42
2002,Nate McMillan,45-37
2001,Paul Westphal,6-9
2001,Paul Westphal,6-9,Nate McMillan,38-29
2000,Paul Westphal,45-37
1999,Paul Westphal,25-25
1998,George Karl,61-21
1997,George Karl,57-25
1996,George Karl,64-18
1995,George Karl,57-25
1994,George Karl,63-19
1993,George Karl,55-27
1992,K.C. Jones,18-18
1992,K.C. Jones,18-18,Bob Kloppenburg,2-2
1992,K.C. Jones,18-18,Bob Kloppenburg,2-2,George Karl,27-15
1991,K.C. Jones,41-41
1990,Bernie Bickerstaff,41-41
1989,Bernie Bickerstaff,47-35
1988,Bernie Bickerstaff,44-38
1987,Bernie Bickerstaff,39-43
1986,Bernie Bickerstaff,31-51
1985,Lenny Wilkens,31-51
1984,Lenny Wilkens,42-40
1983,Lenny Wilkens,48-34
1982,Lenny Wilkens,52-30
1981,Lenny Wilkens,34-48
1980,Lenny Wilkens,56-26
1979,Lenny Wilkens,52-30
1978,Bob Hopkins,5-17
1978,Bob Hopkins,5-17,Lenny Wilkens,42-18
1977,Bill Russell,40-42
1976,Bill Russell,43-39
1975,Bill Russell,43-39
1974,Bill Russell,36-46
1973,Tom Nissalke,13-32
1973,Tom Nissalke,13-32,Bucky Buckwalter,13-24
1972,Lenny Wilkens,47-35
1971,Lenny Wilkens,38-44
1970,Lenny Wilkens,36-46
1969,Al Bianchi,30-52
1968,Al Bianchi,23-59
