2020,Steve Clifford,30-35
2019,Steve Clifford,42-40
2018,Frank Vogel,25-57
2017,Frank Vogel,29-53
2016,Scott Skiles,35-47
2015,Jacque Vaughn,15-37
2015,Jacque Vaughn,15-37,James Borrego,10-20
2014,Jacque Vaughn,23-59
2013,Jacque Vaughn,20-62
2012,Stan Van Gundy,37-29
2011,Stan Van Gundy,52-30
2010,Stan Van Gundy,59-23
2009,Stan Van Gundy,59-23
2008,Stan Van Gundy,52-30
2007,Brian Hill,40-42
2006,Brian Hill,36-46
2005,Johnny Davis,31-33
2005,Johnny Davis,31-33,Chris Jent,5-13
2004,Doc Rivers,1-10
2004,Doc Rivers,1-10,Johnny Davis,20-51
2003,Doc Rivers,42-40
2002,Doc Rivers,44-38
2001,Doc Rivers,43-39
2000,Doc Rivers,41-41
1999,Chuck Daly,33-17
1998,Chuck Daly,41-41
1997,Brian Hill,24-25
1997,Brian Hill,24-25,Richie Adubato,21-12
1996,Brian Hill,60-22
1995,Brian Hill,57-25
1994,Brian Hill,50-32
1993,Matt Guokas,41-41
1992,Matt Guokas,21-61
1991,Matt Guokas,31-51
1990,Matt Guokas,18-64
