2020,Brett Brown,39-26
2019,Brett Brown,51-31
2018,Brett Brown,52-30
2017,Brett Brown,28-54
2016,Brett Brown,10-72
2015,Brett Brown,18-64
2014,Brett Brown,19-63
2013,Doug Collins,34-48
2012,Doug Collins,35-31
2011,Doug Collins,41-41
2010,Eddie Jordan,27-55
2009,Maurice Cheeks,9-14
2009,Maurice Cheeks,9-14,Tony DiLeo,32-27
2008,Maurice Cheeks,40-42
2007,Maurice Cheeks,35-47
2006,Maurice Cheeks,38-44
2005,Jim O'Brien,43-39
2004,Randy Ayers,21-31
2004,Randy Ayers,21-31,Chris Ford,12-18
2003,Larry Brown,48-34
2002,Larry Brown,43-39
2001,Larry Brown,56-26
2000,Larry Brown,49-33
1999,Larry Brown,28-22
1998,Larry Brown,31-51
1997,Johnny Davis,22-60
1996,John Lucas,18-64
1995,John Lucas,24-58
1994,Fred Carter,25-57
1993,Doug Moe,19-37
1993,Doug Moe,19-37,Fred Carter,7-19
1992,Jim Lynam,35-47
1991,Jim Lynam,44-38
1990,Jim Lynam,53-29
1989,Jim Lynam,46-36
1988,Matt Guokas,20-23
1988,Matt Guokas,20-23,Jim Lynam,16-23
1987,Matt Guokas,45-37
1986,Matt Guokas,54-28
1985,Billy Cunningham,58-24
1984,Billy Cunningham,52-30
1983,Billy Cunningham,65-17
1982,Billy Cunningham,58-24
1981,Billy Cunningham,62-20
1980,Billy Cunningham,59-23
1979,Billy Cunningham,47-35
1978,Gene Shue,2-4
1978,Gene Shue,2-4,Billy Cunningham,53-23
1977,Gene Shue,50-32
1976,Gene Shue,46-36
1975,Gene Shue,34-48
1974,Gene Shue,25-57
1973,Roy Rubin,4-47
1973,Roy Rubin,4-47,Kevin Loughery,5-26
1972,Jack Ramsay,30-52
1971,Jack Ramsay,47-35
1970,Jack Ramsay,42-40
1969,Jack Ramsay,55-27
1968,Alex Hannum,62-20
1967,Alex Hannum,68-13
1966,Dolph Schayes,55-25
1965,Dolph Schayes,40-40
1964,Dolph Schayes,34-46
1963,Alex Hannum,48-32
1962,Alex Hannum,41-39
1961,Alex Hannum,38-41
1960,Paul Seymour,45-30
1959,Paul Seymour,35-37
1958,Paul Seymour,41-31
1957,Al Cervi,4-8
1957,Al Cervi,4-8,Paul Seymour,34-26
1956,Al Cervi,35-37
1955,Al Cervi,43-29
1954,Al Cervi,42-30
1953,Al Cervi,47-24
1952,Al Cervi,40-26
1951,Al Cervi,32-34
1950,Al Cervi,51-13
