2020,Monty Williams,26-39
2019,Igor Kokoskov,19-63
2018,Earl Watson,0-3
2018,Earl Watson,0-3,Jay Triano,21-58
2017,Earl Watson,24-58
2016,Jeff Hornacek,14-35
2016,Jeff Hornacek,14-35,Earl Watson,9-24
2015,Jeff Hornacek,39-43
2014,Jeff Hornacek,48-34
2013,Alvin Gentry,13-28
2013,Alvin Gentry,13-28,Lindsey Hunter,12-29
2012,Alvin Gentry,33-33
2011,Alvin Gentry,40-42
2010,Alvin Gentry,54-28
2009,Terry Porter,28-23
2009,Terry Porter,28-23,Alvin Gentry,18-13
2008,Mike D'Antoni,55-27
2007,Mike D'Antoni,61-21
2006,Mike D'Antoni,54-28
2005,Mike D'Antoni,62-20
2004,Frank Johnson,8-13
2004,Frank Johnson,8-13,Mike D'Antoni,21-40
2003,Frank Johnson,44-38
2002,Scott Skiles,25-26
2002,Scott Skiles,25-26,Frank Johnson,11-20
2001,Scott Skiles,51-31
2000,Danny Ainge,13-7
2000,Danny Ainge,13-7,Scott Skiles,40-22
1999,Danny Ainge,27-23
1998,Danny Ainge,56-26
1997,Cotton Fitzsimmons,0-8
1997,Cotton Fitzsimmons,0-8,Danny Ainge,40-34
1996,Paul Westphal,14-19
1996,Paul Westphal,14-19,Cotton Fitzsimmons,27-22
1995,Paul Westphal,59-23
1994,Paul Westphal,56-26
1993,Paul Westphal,62-20
1992,Cotton Fitzsimmons,53-29
1991,Cotton Fitzsimmons,55-27
1990,Cotton Fitzsimmons,54-28
1989,Cotton Fitzsimmons,55-27
1988,John Wetzel,28-54
1987,John MacLeod,22-34
1987,John MacLeod,22-34,Dick Van Arsdale,14-12
1986,John MacLeod,32-50
1985,John MacLeod,36-46
1984,John MacLeod,41-41
1983,John MacLeod,53-29
1982,John MacLeod,46-36
1981,John MacLeod,57-25
1980,John MacLeod,55-27
1979,John MacLeod,50-32
1978,John MacLeod,49-33
1977,John MacLeod,34-48
1976,John MacLeod,42-40
1975,John MacLeod,32-50
1974,John MacLeod,30-52
1973,Butch van Breda Kolff,3-4
1973,Butch van Breda Kolff,3-4,Jerry Colangelo,35-40
1972,Cotton Fitzsimmons,49-33
1971,Cotton Fitzsimmons,48-34
1970,Red Kerr,15-23
1970,Red Kerr,15-23,Jerry Colangelo,24-20
1969,Red Kerr,16-66
