2020,Terry Stotts,29-37
2019,Terry Stotts,53-29
2018,Terry Stotts,49-33
2017,Terry Stotts,41-41
2016,Terry Stotts,44-38
2015,Terry Stotts,51-31
2014,Terry Stotts,54-28
2013,Terry Stotts,33-49
2012,Nate McMillan,20-23
2012,Nate McMillan,20-23,Kaleb Canales,8-15
2011,Nate McMillan,48-34
2010,Nate McMillan,50-32
2009,Nate McMillan,54-28
2008,Nate McMillan,41-41
2007,Nate McMillan,32-50
2006,Nate McMillan,21-61
2005,Maurice Cheeks,22-33
2005,Maurice Cheeks,22-33,Kevin Pritchard,5-22
2004,Maurice Cheeks,41-41
2003,Maurice Cheeks,50-32
2002,Maurice Cheeks,49-33
2001,Mike Dunleavy,50-32
2000,Mike Dunleavy,59-23
1999,Mike Dunleavy,35-15
1998,Mike Dunleavy,46-36
1997,P.J. Carlesimo,49-33
1996,P.J. Carlesimo,44-38
1995,P.J. Carlesimo,44-38
1994,Rick Adelman,47-35
1993,Rick Adelman,51-31
1992,Rick Adelman,57-25
1991,Rick Adelman,63-19
1990,Rick Adelman,59-23
1989,Mike Schuler,25-22
1989,Mike Schuler,25-22,Rick Adelman,14-21
1988,Mike Schuler,53-29
1987,Mike Schuler,49-33
1986,Jack Ramsay,40-42
1985,Jack Ramsay,42-40
1984,Jack Ramsay,48-34
1983,Jack Ramsay,46-36
1982,Jack Ramsay,42-40
1981,Jack Ramsay,45-37
1980,Jack Ramsay,38-44
1979,Jack Ramsay,45-37
1978,Jack Ramsay,58-24
1977,Jack Ramsay,49-33
1976,Lenny Wilkens,37-45
1975,Lenny Wilkens,38-44
1974,Jack McCloskey,27-55
1973,Jack McCloskey,21-61
1972,Rolland Todd,12-44
1972,Rolland Todd,12-44,Stu Inman,6-20
1971,Rolland Todd,29-53
