2020,Luke Walton,28-36
2019,Dave Joerger,39-43
2018,Dave Joerger,27-55
2017,Dave Joerger,32-50
2016,George Karl,33-49
2015,Mike Malone,11-13
2015,Mike Malone,11-13,Tyrone Corbin,7-21
2015,Mike Malone,11-13,Tyrone Corbin,7-21,George Karl,11-19
2014,Mike Malone,28-54
2013,Keith Smart,28-54
2012,Paul Westphal,2-5
2012,Paul Westphal,2-5,Keith Smart,20-39
2011,Paul Westphal,24-58
2010,Paul Westphal,25-57
2009,Reggie Theus,6-18
2009,Reggie Theus,6-18,Kenny Natt,11-47
2008,Reggie Theus,38-44
2007,Eric Musselman,33-49
2006,Rick Adelman,44-38
2005,Rick Adelman,50-32
2004,Rick Adelman,55-27
2003,Rick Adelman,59-23
2002,Rick Adelman,61-21
2001,Rick Adelman,55-27
2000,Rick Adelman,44-38
1999,Rick Adelman,27-23
1998,Eddie Jordan,27-55
1997,Garry St. Jean,28-39
1997,Garry St. Jean,28-39,Eddie Jordan,6-9
1996,Garry St. Jean,39-43
1995,Garry St. Jean,39-43
1994,Garry St. Jean,28-54
1993,Garry St. Jean,25-57
1992,Dick Motta,7-18
1992,Dick Motta,7-18,Rex Hughes,22-35
1991,Dick Motta,25-57
1990,Jerry Reynolds,7-21
1990,Jerry Reynolds,7-21,Dick Motta,16-38
1989,Jerry Reynolds,27-55
1988,Bill Russell,17-41
1988,Bill Russell,17-41,Jerry Reynolds,7-17
1987,Phil Johnson,14-32
1987,Phil Johnson,14-32,Jerry Reynolds,15-21
1986,Phil Johnson,37-45
1985,Jack McKinney,1-8
1985,Jack McKinney,1-8,Phil Johnson,30-43
1984,Cotton Fitzsimmons,38-44
1983,Cotton Fitzsimmons,45-37
1982,Cotton Fitzsimmons,30-52
1981,Cotton Fitzsimmons,40-42
1980,Cotton Fitzsimmons,47-35
1979,Cotton Fitzsimmons,48-34
1978,Phil Johnson,13-24
1978,Phil Johnson,13-24,Larry Staverman,18-27
1977,Phil Johnson,40-42
1976,Phil Johnson,31-51
1975,Phil Johnson,44-38
1974,Bob Cousy,6-14
1974,Bob Cousy,6-14,Draff Young,0-4
1974,Bob Cousy,6-14,Draff Young,0-4,Phil Johnson,27-31
1973,Bob Cousy,36-46
1972,Bob Cousy,30-52
1971,Bob Cousy,33-49
1970,Bob Cousy,36-46
1969,Ed Jucker,41-41
1968,Ed Jucker,39-43
1967,Jack McMahon,39-42
1966,Jack McMahon,45-35
1965,Jack McMahon,48-32
1964,Jack McMahon,55-25
1963,Charles Wolf,42-38
1962,Charles Wolf,43-37
1961,Charles Wolf,33-46
1960,Tom Marshall,19-56
1959,Bobby Wanzer,3-15
1959,Bobby Wanzer,3-15,Tom Marshall,16-38
1958,Bobby Wanzer,33-39
1957,Bobby Wanzer,31-41
1956,Bobby Wanzer,31-41
1955,Les Harrison,29-43
1954,Les Harrison,44-28
1953,Les Harrison,44-26
1952,Les Harrison,41-25
1951,Les Harrison,41-27
1950,Les Harrison,51-17
1949,Les Harrison,45-15
