2020,Quin Snyder,41-23
2019,Quin Snyder,50-32
2018,Quin Snyder,48-34
2017,Quin Snyder,51-31
2016,Quin Snyder,40-42
2015,Quin Snyder,38-44
2014,Tyrone Corbin,25-57
2013,Tyrone Corbin,43-39
2012,Tyrone Corbin,36-30
2011,Jerry Sloan,31-23
2011,Jerry Sloan,31-23,Tyrone Corbin,8-20
2010,Jerry Sloan,53-29
2009,Jerry Sloan,48-34
2008,Jerry Sloan,54-28
2007,Jerry Sloan,51-31
2006,Jerry Sloan,41-41
2005,Jerry Sloan,26-56
2004,Jerry Sloan,42-40
2003,Jerry Sloan,47-35
2002,Jerry Sloan,44-38
2001,Jerry Sloan,53-29
2000,Jerry Sloan,55-27
1999,Jerry Sloan,37-13
1998,Jerry Sloan,62-20
1997,Jerry Sloan,64-18
1996,Jerry Sloan,55-27
1995,Jerry Sloan,60-22
1994,Jerry Sloan,53-29
1993,Jerry Sloan,47-35
1992,Jerry Sloan,55-27
1991,Jerry Sloan,54-28
1990,Jerry Sloan,55-27
1989,Frank Layden,11-6
1989,Frank Layden,11-6,Jerry Sloan,40-25
1988,Frank Layden,47-35
1987,Frank Layden,44-38
1986,Frank Layden,42-40
1985,Frank Layden,41-41
1984,Frank Layden,45-37
1983,Frank Layden,30-52
1982,Tom Nissalke,8-12
1982,Tom Nissalke,8-12,Frank Layden,17-45
1981,Tom Nissalke,28-54
1980,Tom Nissalke,24-58
1979,Elgin Baylor,26-56
1978,Elgin Baylor,39-43
1977,Butch van Breda Kolff,14-12
1977,Butch van Breda Kolff,14-12,Elgin Baylor,21-35
1976,Butch van Breda Kolff,38-44
1975,Scotty Robertson,1-14
1975,Scotty Robertson,1-14,Elgin Baylor,0-1
1975,Scotty Robertson,1-14,Elgin Baylor,0-1,Butch van Breda Kolff,22-44
