2020,Scott Brooks,24-40
2019,Scott Brooks,32-50
2018,Scott Brooks,43-39
2017,Scott Brooks,49-33
2016,Randy Wittman,41-41
2015,Randy Wittman,46-36
2014,Randy Wittman,44-38
2013,Randy Wittman,29-53
2012,Flip Saunders,2-15
2012,Flip Saunders,2-15,Randy Wittman,18-31
2011,Flip Saunders,23-59
2010,Flip Saunders,26-56
2009,Eddie Jordan,1-10
2009,Eddie Jordan,1-10,Ed Tapscott,18-53
2008,Eddie Jordan,43-39
2007,Eddie Jordan,41-41
2006,Eddie Jordan,42-40
2005,Eddie Jordan,45-37
2004,Eddie Jordan,25-57
2003,Doug Collins,37-45
2002,Doug Collins,37-45
2001,Leonard Hamilton,19-63
2000,Gar Heard,14-30
2000,Gar Heard,14-30,Darrell Walker,15-23
1999,Bernie Bickerstaff,13-19
1999,Bernie Bickerstaff,13-19,Jim Brovelli,5-13
1998,Bernie Bickerstaff,42-40
1997,Jim Lynam,22-24
1997,Jim Lynam,22-24,Bob Staak,0-1
1997,Jim Lynam,22-24,Bob Staak,0-1,Bernie Bickerstaff,22-13
1996,Jim Lynam,39-43
1995,Jim Lynam,21-61
1994,Wes Unseld,24-58
1993,Wes Unseld,22-60
1992,Wes Unseld,25-57
1991,Wes Unseld,30-52
1990,Wes Unseld,31-51
1989,Wes Unseld,40-42
1988,Kevin Loughery,8-19
1988,Kevin Loughery,8-19,Wes Unseld,30-25
1987,Kevin Loughery,42-40
1986,Gene Shue,32-37
1986,Gene Shue,32-37,Kevin Loughery,7-6
1985,Gene Shue,40-42
1984,Gene Shue,35-47
1983,Gene Shue,42-40
1982,Gene Shue,43-39
1981,Gene Shue,39-43
1980,Dick Motta,39-43
1979,Dick Motta,54-28
1978,Dick Motta,44-38
1977,Dick Motta,48-34
1976,K.C. Jones,48-34
1975,K.C. Jones,60-22
1974,K.C. Jones,47-35
1973,Gene Shue,52-30
1972,Gene Shue,38-44
1971,Gene Shue,42-40
1970,Gene Shue,50-32
1969,Gene Shue,57-25
1968,Gene Shue,36-46
1967,Mike Farmer,1-8
1967,Mike Farmer,1-8,Buddy Jeannette,3-13
1967,Mike Farmer,1-8,Buddy Jeannette,3-13,Gene Shue,16-40
1966,Paul Seymour,38-42
1965,Buddy Jeannette,37-43
1964,Slick Leonard,31-49
1963,Jack McMahon,12-26
1963,Jack McMahon,12-26,Slick Leonard,13-29
1962,Jim Pollard,18-62
